resume_id,jd_id,job_category,resume_text,jd_text,human_label,sbert_score,spacy_score,keyword_score,sbert_pred,spacy_pred,keyword_pred
R01,J01,Software Developer,Python developer with 2 years experience in Django REST APIs MongoDB and Git,Looking for backend developer with Python Django REST API and database experience,2,73.24,87.67,50.0,2,2,2
R02,J02,Software Developer,Java developer experienced in Spring Boot microservices and MySQL,Seeking Java engineer with Spring Boot REST services and SQL database knowledge,2,78.14,89.76,42.86,2,2,2
R03,J03,Software Developer,Frontend developer skilled in React JavaScript CSS and responsive design,Need React developer with JavaScript HTML CSS and UI development experience,2,81.61,88.63,50.0,2,2,2
R04,J04,Software Developer,C++ programmer with experience in data structures algorithms and competitive programming,Looking for software engineer with Python Django cloud deployment and React skills,0,13.72,81.71,0.0,0,1,0
R05,J05,Software Developer,Full stack developer with Node.js Express React MongoDB and REST API experience,Hiring full stack engineer with Node.js React MongoDB and API development skills,2,83.55,92.77,77.78,2,2,2
R06,J06,Software Developer,Python developer with basic Flask knowledge and some MySQL experience,Looking for senior backend developer with Python Django microservices Kubernetes and AWS,1,49.01,84.88,14.29,1,1,0
R07,J07,Software Developer,Android developer with Java Kotlin and Firebase experience,Seeking iOS developer with Swift Xcode and Apple developer ecosystem experience,0,34.43,82.68,0.0,0,1,0
R08,J08,Software Developer,Developer with HTML CSS JavaScript and basic React knowledge,Need full stack developer with React Node.js MongoDB Docker and CI/CD experience,1,43.88,72.05,11.11,1,1,0
R09,J09,Software Developer,Software engineer with Python Git Linux and REST API development experience,Looking for Python developer with Django Flask REST APIs PostgreSQL and Docker,2,58.74,79.57,28.57,1,1,1
R10,J10,Software Developer,Ruby on Rails developer with PostgreSQL Redis and Sidekiq experience,Seeking Python Django developer with PostgreSQL REST APIs and Redis caching experience,1,58.79,75.56,28.57,1,1,1
R11,J11,Data Analyst,Data analyst with Python pandas numpy matplotlib and Excel skills,Looking for data analyst with Python pandas data visualization and SQL experience,2,62.7,82.3,66.67,2,1,2
R12,J12,Data Analyst,SQL expert with MySQL PostgreSQL Tableau and data reporting experience,Hiring data analyst with SQL Tableau Power BI and business intelligence skills,2,61.55,81.55,33.33,2,1,1
R13,J13,Data Analyst,Business analyst with Excel PowerPoint stakeholder management and requirement gathering,Need data analyst with Python SQL statistical analysis and dashboard creation skills,1,39.13,78.9,12.5,0,1,0
R14,J14,Data Analyst,Python data analyst with pandas scikit-learn matplotlib seaborn and Jupyter notebook,Seeking data analyst with Python SQL pandas data cleaning and visualization skills,2,57.43,85.54,57.14,1,2,2
R15,J15,Data Analyst,Marketing professional with Google Analytics campaign tracking and Excel reporting,Looking for data analyst with SQL Python Tableau data pipeline and reporting skills,0,38.01,79.58,14.29,0,1,0
R16,J16,Data Analyst,Data analyst with R programming ggplot2 dplyr and statistical modeling experience,Hiring analyst with Python SQL pandas statistical analysis and visualization skills,1,34.93,84.79,25.0,0,1,1
R17,J17,Data Analyst,Fresher with Python basics and one data analysis project using pandas,Need experienced data analyst with 3 years SQL Python Tableau and stakeholder reporting,1,47.41,81.53,28.57,1,1,1
R18,J18,Data Analyst,Data analyst with SQL Python Tableau Power BI and ETL pipeline experience,Looking for senior data analyst with SQL Python business intelligence and ETL skills,2,62.88,88.53,62.5,2,2,2
R19,J19,Data Analyst,Accountant with tally Excel and financial reporting experience,Seeking data analyst with Python SQL machine learning and predictive modeling skills,0,36.65,68.96,0.0,0,0,0
R20,J20,Data Analyst,Python developer with pandas numpy data cleaning and EDA project experience,Hiring data analyst with Python pandas SQL visualization and reporting skills,2,46.58,84.82,37.5,1,1,1
R21,J21,DevOps,DevOps engineer with Docker Kubernetes Jenkins CI/CD and AWS experience,Looking for DevOps engineer with Docker Kubernetes CI/CD pipeline and cloud experience,2,80.71,84.4,71.43,2,1,2
R22,J22,DevOps,Linux system admin with bash scripting networking and server management,Seeking DevOps engineer with Docker Kubernetes Terraform AWS and CI/CD experience,1,16.96,67.02,0.0,0,0,0
R23,J23,DevOps,AWS cloud engineer with EC2 S3 Lambda RDS and CloudFormation experience,Need DevOps engineer with AWS Docker Jenkins Kubernetes and infrastructure automation,2,43.43,72.75,14.29,1,1,0
R24,J24,DevOps,Software developer with Python Git and some basic Docker knowledge,Looking for senior DevOps engineer with Kubernetes Terraform Ansible and cloud architecture,0,38.15,77.34,0.0,0,1,0
R25,J25,DevOps,DevOps engineer with Jenkins GitLab CI Docker Ansible and Linux administration,Hiring DevOps engineer with CI/CD Jenkins Docker Linux and infrastructure automation,2,73.64,87.27,55.56,2,2,2
R26,J26,DevOps,Network engineer with Cisco routing switching firewall and VPN configuration,Seeking DevOps engineer with AWS Kubernetes Terraform Docker and automation scripting,0,12.59,54.91,0.0,0,0,0
R27,J27,DevOps,Cloud engineer with Azure DevOps pipelines ARM templates and monitoring,Need DevOps engineer with cloud CI/CD infrastructure as code and container orchestration,2,50.79,79.84,25.0,1,1,1
R28,J28,DevOps,Developer with GitHub Actions basic Docker and Linux command line experience,Looking for DevOps engineer with Kubernetes Terraform AWS multi-cloud and SRE experience,1,33.75,75.47,0.0,0,1,0
R29,J29,DevOps,DevOps engineer with Docker Jenkins Kubernetes Prometheus Grafana and Terraform,Hiring site reliability engineer with Docker Kubernetes monitoring CI/CD and cloud skills,2,52.21,51.42,22.22,1,0,1
